,job_title,company,location,compensation,desc,Seniority level,Employment type,Job function,Industries
0,C#软件研发工程师,无锡百然企业管理咨询有限公司,Guangzhou-Foshan Metropolitan Area,N/A,"职位来源于智联招聘。  职位描述 / Responsibilities： Create and compile specification according to customer requirement. 根据客户需求,拟定和编译规格. Conduct evaluation and feasibility studies based on requirements. 针对需求, 进行评估和可行性研究. Design, develop and modify software applications based on specifications. 根据规格,设计,开发以及修改应用软件. Test and qualify developed applications. 测试及验证开发的应用程序. Provide software support to internal and external customer. 为内部和外部客户提供软件支援. Troubleshoot software problems remote or onsite and provide solutions. 探讨软件问题(包含远距支援),并提供解决方案. Provide professional training to internal and external customer. 为内部和外部客户提供专业培训.  职位要求 / Profile： Degree in the field of computer science, electrical engineering, automation technology or practical experience in the field of software development. 计算机科学、电气工程、自动化技术本科及以上学历或软件开发实践经验. Very good knowledge in development with C++ / C# 熟练编译语言: C++ / C# . Knowledge in databases (MS-SQL, MySQL, etc. ) 掌握数据库(MS-SQL, MySQL, 其他 ) . Good knowledge in processing of various data formats (XML, etc.) 良好掌握各种文件格式的处理(XML, 其他). Good command of English language. 拥有良好英语水平. Possess good written and verbal communication skills. 拥有良好的书写及言语沟通技巧. It is especially good to have a background on the device 有设备背景尤佳. Independent, hardworking and possess the right initiative. Ability to work under pressure. 独立,勤奋并积极主动. 拥有在压力下工作的能力. Willingness to travel both domestic and abroad. 愿意在国内外出差.  以担保或任何理由索要财物，扣押证照，均涉嫌违法。",Mid-Senior level,Full-time,Engineering and Information Technology,Business Consulting and Services
1,Consultant Senior Blockchain/Crypto-actifs/DeFi (Finance décentralisée) - H/F,Sia Partners,"Paris, Île-de-France, France",N/A,"Passionné(e) par la blockchain, les crypto-actifs et la finance décentralisée et envie d’être pionnier(e) du Web3 ? Rejoins l’équipe Crypto et Blockchain, au sein de l’entité Data Science de Sia Partners !  Nos clients, de grands groupes comme des start-ups, sont à la recherche de nouveaux business models via les technologies de rupture comme la blockchain et les crypto-actifs. Ainsi, nous les accompagnons de bout en bout dans leurs projets.  Voici quelques exemples de réalisations :  Plateformes de tokenisation d’actifs  Société de minage de crypto-actifs  Plateforme décentralisée d’inclusion financière  Crypto-banque  Benchmarks et analyses techniques   Déploiement de notre solution de traçabilité Stratumn  En tant que consultant, tu accompagneras nos clients sur les sujets suivants :  Accompagnement stratégique (définition de business model, analyse de compétitivité)  Cadrage de projet  Analyse technique  Réalisation de projets sur blockchains publiques et privées  Chez Sia Partners les activités internes ont une importance toute particulière, dans ce cadre ta contribution s’articulera autour des axes suivants :  Conduite de travaux de recherche et développement en interne  Rédaction d’études et d’articles techniques  Intervention lors d’évènements de type conférences, petits déjeuners, meet-ups  Mise en place de formations internes et externes, en présentiel ou en ligne  Développement commercial    Qualifications  Les pré-requis :  Tu es diplômé(e) d’une grande école d'ingénieur, université ou école de management  Tu possèdes idéalement une expérience réussie d’au moins 3 à 5 ans dans le conseil  Tu possède une expérience dans le secteur de la blockchain et des crypto-actifs  Tu es passionné(e) par l’écosystème crypto-actifs (cryptomonnaies, DeFi, le web3, etc...)  Tu as une bonne connaissance des blockchains publiques (Bitcoin, Ethereum, Avalanche, Solana...)  Tu as une bonne connaissance des blockchains privées (Hyperledger Fabric, Corda...)  Tu es autonome dans la réalisation de propositions commerciales  Français  Anglais courant indispensable   Les plus :  Une connaissance du secteur financier    Informations supplémentaires  Ce que nous offrons :  Un salaire compétitif   Faire partie d'une entreprise internationale à croissance rapide  Capacité à travailler sur des missions internationales  Travailler chez un client, en télé-travail et dans notre bureau au 21 rue de Berri  Sia Partners est un employeur qui souscrit au principe de l’égalité d’accès à l’emploi. Tous les aspects de l’emploi, tels que le recrutement, les promotions, la rémunération, ou les sanctions sont basés uniquement sur les performances, les compétences, et le comportement des employés ou les besoins de l’entreprise. ",Mid-Senior level,Full-time,Consulting,Business Consulting and Services
2,Cyber Security Engineer,Actalent,"Colorado Springs, CO","$76,000.00/yr - $119,000.00/yr","A leading Defense Organization is looking to add a Cyber Engineer to their team! * ***************Please only apply if you have an active clearance******************* Description:* Provide support to certification and accreditation implementing the Risk Management Framework (RMF) across multiple classification domains and update status in the Enterprise Mission Assurance Support Service (eMASS) system. Work as an integrated team member in a highly dynamic, operationally sensitive environment providing mission critical data to the war fighter. Communicate and coordinate across the IA team for cyber-related issues. Analyze security risks, threats and vulnerabilities from multiple sources and recommend strategies to leadership to prevent security exposures and detect intruders. Create plans to implement solutions and follow them through to completion keeping the team and management informed. Remain current on Operational Orders technical applicability and create compliance determinations. Stay current with Government and industry trends, laws and standards and recommend methods to meet requirements. Analyze and define information security requirements for current and future internal and external data connections and maintain documentation for those connections in a central repository. Coordinate with outside test teams for independent vulnerability testing of the MMC IA posture and conduct Radiant Mercury (RM) annual Joint Vulnerability Assessment Program (JVAP) accreditation. Document IA processes and update document repository. Perform and document Account Access Authorization and Control for all on-premises and cloud systems assigned, including maintenance of AARegister artifacts for all on-premises and cloud systems assigned. Collaborate with network administrators to develop and maintain DISA compliant Ports Protocols Services Management (PPSM) data for all on-premises and cloud systems assigned. Develop and maintain SV-3 formatted descriptions of authorized intra-system interfaces between all on-premises and cloud systems assigned. Collaborate with configurations management to develop and maintain authorized software lists for all types of on-premises and cloud systems assigned. Desired experience with McAfee ePolicy Orchestrator, Host Based Security System (HBSS) firewall and threat prevention, Assured Compliance Assessment Solution (ACAS), and Security Content Automation Program (SCAP)/Security Technical Implementation Guide (STIG). Position Requirements:* AAS/BA/BS preferred, (HSD or equivalent required) Ability to perform multiple projects with dynamic tasking and follow-through from initial contact to end on assigned tasks. Ability to work as an integrated member of a dynamic and mission focused team to promote a cooperative working environment and a positive team atmosphere. Knowledge of cross-domain solutions. Working knowledge of cyber doctrine and industry IA best practices. Working knowledge of network protocols and MS Windows defense and threat mitigation. Ability to work in a MS Windows virtualized environment. The ability to think analytically and approach issues logically and systematically. Excellent spoken and written communications skills An active clearance is required. Nice to have: CISSP, CISM, CASP, C|EH, CHFI Travel: Occasional (2-4 times/years) Certifications Required: CompTIA Security+ Skills:* information assurance, ACAS, risk management, STIGs, HBSS, Vulnerability assessment, Information security, Emass Top Skills Details:* information assurance, ACAS, risk management Additional Skills & Qualifications:* certifications and clearance Experience Level:* Intermediate Level  About Actalent:  Actalent connects passion with purpose. Our scalable talent solutions and services capabilities drive value and results and provide the expertise to help our customers achieve more. Every day, our experts around the globe are making an impact. We’re supporting critical initiatives in engineering and sciences that advance how companies serve the world. Actalent promotes consultant care and engagement through experiences that enable continuous development. Our people are the difference. Actalent is an operating company of Allegis Group, the global leader in talent solutions. The company is an equal opportunity employer and will consider all applications without regards to race, sex, age, color, religion, national origin, veteran status, disability, sexual orientation, gender identity, genetic information or any characteristic protected by law.",Entry level,Full-time,Information Technology,IT Services and IT Consulting
3,Software Projektleiter (w/m/d) (80 % - 100 %),Datahouse,"Zurich, Zurich, Switzerland",N/A,"Deine Aufgaben  In unserem multi­dis­zi­plinären Team arbeitest du Seite an Seite mit erfahrenen Software Engineers, Data Scientists und Project Managers. Bei uns erwartet dich ein Umfeld mit flachen Hierarchien und offener Kommunikation, wo du viel Verantwortung und Einfluss übernehmen kannst.  Projektleitung in innovativen und massgeschneiderten Kundenprojekten  Analysieren von komplexen Kundenanforderungen und Erarbeiten von intelligenten Lösungen zusammen mit unseren Kunden  Verantwortung vom Konzept bis zur Umsetzung der fertigen Applikation  Mitarbeit in der Entwicklung von anspruchsvollen Webapplikationen wobei die Projektleitung im Fokus steht    Qualifikationen  Dein Profil  Abgeschlossenes Informatik- oder Ingenieur-Studium oder gleichwertige Ausbildung/Erfahrung  Mindestens 2-4 Jahre Erfahrung als Software Engineer  Idealerweise mind. 1-2 Jahre Erfahrung als Projektleiter in der Umsetzung von Softwareprojekten  Hohe Kundenorientierung und initiative Persönlichkeit  Kenntnisse in der Entwicklung von Webapplikationen in den Bereichen Frontend, Backend oder Datenbanken (z.B. JavaScript-Frameworks, Python, SQL- oder NoSQL-Datenbanken)  Verständnis für statistische Fragestellungen im Rahmen von Business- und Data-Analytics-Lösungen  Sehr gute kommunikative Fähigkeiten in Deutsch und Englisch     Zu unserem Technologiestack gehören u.a.: React, Javascript, Node.js, Python, PHP7, Go, GraphQL, Postgres, MongoDB, Docker und Git.      Zusätzliche Informationen  Unser Angebot  Attraktive Anstellungsbedingungen mit variablem Vergütungsanteil  Flexibles Work Smart-Konzept mit Home Office-Möglichkeit  Erfrischende, professionelle und kollegiale Unternehmenskultur mit tollen Events  Hoher Teamspirit, flache Hierarchien und abwechslungsreiche Aufgaben  Schöner Arbeitsplatz im Zentrum von Zürich mit moderner Infrastruktur  Weiterbildungsbudget sowie weitere attraktive Fringe Benefits     Kontakt   Bei offenen Fragen steht dir Michelle Hiestand, Talent Acquisition gerne unter michelle.hiestand@wuestpartner.com zur Verfügung.   Wir freuen uns auf dich!   Datahouse AG, Bleicherweg 5, 8001 Zürich   Eine Tochtergesellschaft der Wüest Partner AG ",Mid-Senior level,Full-time,Project Management,Software Development
4,Data and Cloud Security,Counter Threat Solutions,"McLean, VA",N/A,"CTS is comprised of individuals with a passion for delivering superior service and innovative solutions. Our team brings exceptional understanding of our client's challenges and a wide variety of financial, business, management, and technical services to our customers in support of specialized intelligence, defense, and business missions. CTS brings a unique level of expertise to its customers. Our team has decades of direct mission engagement within the IC and DOD as well as broad expertise in commercial and private sector disciplines. Named one of ""Best Places to Work in 2020 and 2021"" by the Washington Business Journal, Counter Threat Solutions (CTS) is a Woman-Owned Service-Disabled Veteran Owned Small Business providing professional and technical solutions to clients in the Intelligence Community (IC) and beyond.  We invest in our people! Check out our 5-Star Glassdoor reviews and compare our full paid Health care benefits, PTO, 401K, and annual continuing education allowance with your current situation!  We seek ambitious Data and Cloud Security professionals with TS/Polygraph Clearance for challenging opportunities in Northern VA.  Day/Core Hours  Data and Cloud Security  Process of ensuring data storage, retention, and access is compliant with Agency policies, and to initiate and maintain accreditation for data science compute environments  Skills Required To Be Successful Determining technical (e.g., Operating System (OS), cloud environment, compute, storage, data) and security ((e.g., INT overlays, System Security Plan (SSP)) requirements for transitioning to enterprise all the diverse types of data science tools and analytics. Map technical requirements to cloud resources available in the Sponsor's environment to ensure optimal resource allocation and usage. Create virtual private clouds (VPCs) Iv4ithin Client's cloud environments to host applications, tools, and/or data sets required for the transition project What We Are Looking For Four (4) year Degree in Data Science or Computer related field. Minimum three (2-3) years- experience Customer service skills. Ability to work under collaboratively with others and effective under pressure. This is not an exhaustive description of this opportunity. Let's have a talk!  About Counter Threat Solutions (CTS): CTS is a Woman-Owned Service- Disabled Veteran Owned Small Business (SDVOSB) consultancy to the Federal government with a focus on the Intelligence and Defense communities. We provide mission-savvy subject matter experts and deliver innovative solutions to our clients. As such, we seek people passionate about their career specialty and we reward our team members with competitive pay and a comprehensive benefits package that includes 100% paid medical, dental and vision care premiums; a retirement plan with company match and immediate vesting @ 6%; a generous annual training/tuition allowance; 6 weeks total paid time off; and performance-based merit increases and incentives.  Counter Threat Solutions is an equal opportunity employer and will not discriminate against any employee or applicant on the basis of age, color, disability, sex, national origin, race, religion, sexual orientation, gender identity, veteran status, or any classification protected by federal, state, or local law.",Entry level,Full-time,Information Technology,IT Services and IT Consulting
5,Azure Cloud Architect,Penstroke Recruitment,"Stockholm City, Stockholm County, Sweden",N/A,,,,,
6,Python Developer,Infoparks Kerala,"Kochi, Kerala, India",N/A,"Career Opportunities  Python Developer  Years of Experience : 3+Yrs  Location : Kochi, Infopark  Must Have Strong Data Structure Skills. Desired Python-Django developers must have skills in python, Django, and Django Rest API. Basic idea of Kubernetes / Docker (Worked in a SaaS / Container Env) Good To Have Strong Problem Solving / Algorithmic Skills Understanding of OS Concepts like Multi-threading / Multi-Process, Concurrency, Synchronization Primitives, Memory Management Worked with NoSQL Databases like Mongo, Elastic, Cassandra Network Security Domain Experience is a Plus (not mandatory) Ideal candidate would have the above skills and also need to know any JavaScript library like React JS, Vue JS, Angular JS, etc. Proficient in one or more of the well-known Programming Languages like Python, NodeJS (Proficiency in other programming languages is also fine, but, must be ready to code in Python / NodeJS/ GoLang) Forward suitable profiles to careers@goodbits.in  NB: In case you receive any fraudulent communication for a Job offer/ interview call against payment of money, please stay alert. Goodbits Tech Pvt Ltd doesn't collect any placement fee from any candidates for any of the above  Email: careers@goodbits.in",Entry level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
7,Cyber Security Intern/Co-op,TD,"Toronto, Ontario, Canada",N/A,"TD Description  All companies are not the same. What makes TD special as a business is also, what makes us special as an employer.  Why TD?  TD's Colleague Promise: A better you. A better us.  A more confident you means a stronger us. We empower you to grow your skills, gain new perspectives, and create impact at work and in your community. That's our unique and inclusive culture.  Department Overview  Co-op and Internship opportunities allow you to gain valuable work experience across a number of the businesses at TD. You will work with experienced colleagues, receive world class training, and be part of a community of students across TD, where you will have an impact, grow as individual and experience our culture of care.  Our Co-op/Intern Programming is offered with select Co-op and Internship roles, and is designed to help you better understand the TD business, build on critical career capabilities, and broaden your professional network. This program is designed to complement your on-the job experience and features: Leadership talks with key Leaders from across the organization Lunch and Learns on topics such as Innovation Diversity and Inclusion and Personal Branding and so much more  Job Description  Are you someone that enjoys solving complex problems? Do you love thinking creatively about what could go wrong, and then coming up with plans to avoid it?  Then you should join our Enterprise Protect organization! Multiple roles that support Cyber engineering are available, including: Cyber Security Risk Officers analyze, report on, and mitigate risks related to technology, data, vendors, applications, infrastructure, information, and Cloud. Each of the Cyber Security Risk Officer roles focuses on managing technology and information security risk in compliance with the organization's risk appetite. Cyber Security Analysts operate cyber security tooling, execute processes and procedures related to cyber security, and provide defense in-depth capabilities related to technology, data, applications, infrastructure, and Cloud environments. Each of the Cyber Security Analyst roles focuses on operational execution of security controls and tooling in order to better defend, identify, and secure systems and technology in compliance with the organization's risk appetite. Cyber Security Engineers test and implement cyber security solutions, build automation and integration solutions between cyber security tooling, and provide expert guidance on cyber security tooling capabilities. Each of the Cyber Security Engineer roles focuses on specialized areas of security tooling in order to better defend, identify, and secure systems and technology in compliance with the organization's risk appetite. Fraud Technology Analysts help manage technology applications that deliver operational and analytic outputs that deliver fraud detection and prevention controls to protect the Bank and its customers. Fraud Technology Analysts also may perform non-technical roles supporting the Fraud Technology Solutions team through governance and compliance activities, business processes, and performance management.  Job Requirements Currently enrolled in relevant technology programs, such as Computer Science, Engineering, Information Technology Management, Financial Analysis and Risk Management, Computing, etc. Familiarity with Jira and Confluence A thirst for constantly exploring emerging technology Prior experience in the cyber domain would be an asset, including but not limited to: Identifying, assessing, measuring and reporting on technology risks Subject matter expertise in keeping infrastructure & applications secure, including disaster recovery, security architecture, data loss prevention, and application security services Experience in evaluations of detective cyber security controls, including testing and improvement of new capabilities within existing tooling Incident response, and minimizing business impacts of cyber events    Additional Information  Please note that this is a general posting. If you are selected for an interview, more information regarding which business group and the specific job duties will be provided.  Early Talent Requirements This position is a 4-month work term and will commence September 6th – December 23rd, 2022. Applications must include a transcript, cover letter (one letter-sized page or less) and a resume (maximum of 2 pages). We welcome all applications; however, we will only contact qualified candidates chosen for an interview. Thank you for your interest. TD requires employees to reside in the country where the role is located, irrespective of remote working arrangements  Assigned Line of Business Requirements Please note that the line of business that you are assigned to may require specific skills not mentioned in this posting  Inclusiveness  At TD, we are committed to fostering an inclusive, accessible environment, where all employees and customers feel valued, respected and supported. We are dedicated to building a workforce that reflects the diversity of our customers and communities in which we live and serve. If you require an accommodation for the recruitment/interview process (including alternate formats of materials, or accessible meeting rooms or other accommodation), please let us know and we will work with you to meet your needs.",Not Applicable,Full-time,Engineering and Information Technology,"Banking, Insurance, and Financial Services"
8,"IT Application and Infrastructure Audit Professional, Officer",State Street,"London, England, United Kingdom",N/A,"The Business Aligned IT Auditor will be responsible for working on audit engagements that focus on business risk and related application technology. Team members work to understand business risks and related application controls such as interface controls, logical access controls, and input/processing/output controls. The main objective of an audit is to provide management with independent, objective assurance regarding the design and operating effectiveness of the system of internal controls to mitigate both business and IT-related risks. The audit follows a collaborative approach, with business and IT audit team members jointly conducting the majority of internal and client-facing planning, control assessment, testing, and reporting activities.  The Business Aligned IT Auditor will help shape the audit scope for IT coverage, assess procedures and test application controls for audits utilizing a risk-based audit approach. The application controls subject to testing will be determined during the risk and controls assessment phase of the audit and will most likely include: electronic authorizations; application parameters, settings, edit checks, scripts, and mappings; application access to sensitive application transactions and shared directories; system interfaces; and management, edit, and exception reports.  The Business Aligned IT Auditor ensures their work is completed in compliance with the Corporate Audit Department and Institute of Internal Auditor standards. The candidate requires good analytical, interpersonal, time management, project management, research and communications skills. She /he must be able to effectively work with new and changing situations, including new industry regulations, where there may not always be a readily apparent solution. Qualifications Bachelor’s degree in Computer Science, Information Security, Information Systems, Civil Engineering, Accounting, Management Science or a related field, or its equivalent; 1+ years of experience with IT and Operations auditing, risk management, or IT compliance. Proven knowledge of Information security, system development lifecycle, IT project management and end-user computing; Demonstrated experience testing IT general controls and application controls including electronic authorizations, application parameters, settings and/or scripts, and access to sensitive application transactions and data interfaces; Preferred Qualifications Ability to think strategically and multi-task in a fast-paced environment Experience in a number of the following: technology consulting, system auditing, privacy, cyber-security, Public and Private Cloud, software development, financial processes and systems, large project systems integration, risk management, or data analytics. Demonstrated knowledge of Institute of Internal Auditors, Corporate Audit Division standards, NIST, COSO, COBIT, ITIL, ISO 27001, Sarbanes-Oxley and SOC 1 / SSAE 16 standards and laws and regulations applicable to the assigned area of responsibility. Audit experience in public accounting or internal audit, focusing on financial service or other regulated industries Excellent analytical, written communication, interpersonal, organizational and presentation skills Industry recognized certification CISA, CISSP, CISM, AICPA Interest in Corporate Compliance, Financial Services and/or Anti-Money Laundering  COVID-19 Protocols: Complying with State Street’s COVID-19 protocols is a condition of employment. Those requirements may vary depending on circumstances and legal requirements, and may include, without limitation, a requirement to be vaccinated (or have an accommodation), to disclose vaccination status, to provide evidence of vaccination status, etc.  Job ID: R-672259",Not Applicable,Full-time,Engineering and Information Technology,"Financial Services, Investment Banking, and Investment Management"
9,"IT Application and Infrastructure Audit Professional, Officer",State Street,"Cracow, Małopolskie, Poland",N/A,"The Business Aligned IT Auditor will be responsible for working on audit engagements that focus on business risk and related application technology. Team members work to understand business risks and related application controls such as interface controls, logical access controls, and input/processing/output controls. The main objective of an audit is to provide management with independent, objective assurance regarding the design and operating effectiveness of the system of internal controls to mitigate both business and IT-related risks. The audit follows a collaborative approach, with business and IT audit team members jointly conducting the majority of internal and client-facing planning, control assessment, testing, and reporting activities.  The Business Aligned IT Auditor will help shape the audit scope for IT coverage, assess procedures and test application controls for audits utilizing a risk-based audit approach. The application controls subject to testing will be determined during the risk and controls assessment phase of the audit and will most likely include: electronic authorizations; application parameters, settings, edit checks, scripts, and mappings; application access to sensitive application transactions and shared directories; system interfaces; and management, edit, and exception reports.  The Business Aligned IT Auditor ensures their work is completed in compliance with the Corporate Audit Department and Institute of Internal Auditor standards. The candidate requires good analytical, interpersonal, time management, project management, research and communications skills. She /he must be able to effectively work with new and changing situations, including new industry regulations, where there may not always be a readily apparent solution. Qualifications Bachelor’s degree in Computer Science, Information Security, Information Systems, Civil Engineering, Accounting, Management Science or a related field, or its equivalent; 1+ years of experience with IT and Operations auditing, risk management, or IT compliance. Proven knowledge of Information security, system development lifecycle, IT project management and end-user computing; Demonstrated experience testing IT general controls and application controls including electronic authorizations, application parameters, settings and/or scripts, and access to sensitive application transactions and data interfaces; Preferred Qualifications Ability to think strategically and multi-task in a fast-paced environment Experience in a number of the following: technology consulting, system auditing, privacy, cyber-security, Public and Private Cloud, software development, financial processes and systems, large project systems integration, risk management, or data analytics. Demonstrated knowledge of Institute of Internal Auditors, Corporate Audit Division standards, NIST, COSO, COBIT, ITIL, ISO 27001, Sarbanes-Oxley and SOC 1 / SSAE 16 standards and laws and regulations applicable to the assigned area of responsibility. Audit experience in public accounting or internal audit, focusing on financial service or other regulated industries Excellent analytical, written communication, interpersonal, organizational and presentation skills Industry recognized certification CISA, CISSP, CISM, AICPA Interest in Corporate Compliance, Financial Services and/or Anti-Money Laundering  COVID-19 Protocols: Complying with State Street’s COVID-19 protocols is a condition of employment. Those requirements may vary depending on circumstances and legal requirements, and may include, without limitation, a requirement to be vaccinated (or have an accommodation), to disclose vaccination status, to provide evidence of vaccination status, etc.  Job ID: R-672259",Not Applicable,Full-time,Engineering and Information Technology,"Financial Services, Investment Banking, and Investment Management"
